     q_A^-1             I 
  4.643413e+00    1.781390e+00
  4.656174e+00    1.676919e+00
  4.668936e+00    1.798696e+00
  4.681698e+00    1.592347e+00
  4.694459e+00    1.660124e+00
  4.707221e+00    1.681417e+00
  4.719983e+00    1.706806e+00
  4.732744e+00    1.622644e+00
  4.745506e+00    1.684435e+00
  4.758267e+00    1.734132e+00
  4.771029e+00    1.640806e+00
  4.783791e+00    1.654833e+00
  4.796552e+00    1.698539e+00
  4.809314e+00    1.727674e+00
  4.822076e+00    1.710858e+00
  4.834837e+00    1.718730e+00
  4.847599e+00    1.765028e+00
  4.860361e+00    1.736454e+00
  4.873122e+00    1.690256e+00
  4.885884e+00    1.827442e+00
  4.898646e+00    1.778591e+00
  4.911407e+00    1.625988e+00
  4.924169e+00    1.859729e+00
  4.936931e+00    1.793213e+00
  4.949692e+00    1.813032e+00
  4.962454e+00    1.821178e+00
  4.975216e+00    2.063746e+00
  4.987977e+00    2.092711e+00
  5.000739e+00    2.614352e+00
  5.013501e+00    3.628785e+00
  5.026262e+00    4.400268e+00
  5.039024e+00    4.639657e+00
  5.051786e+00    4.906950e+00
  5.064547e+00    4.371822e+00
  5.077309e+00    3.553342e+00
  5.090070e+00    3.045903e+00
  5.102832e+00    2.381395e+00
  5.115594e+00    1.960996e+00
  5.128355e+00    1.831501e+00
  5.141117e+00    1.789155e+00
  5.153879e+00    1.634228e+00
  5.166640e+00    1.677757e+00
  5.179402e+00    1.737874e+00
  5.192164e+00    1.613234e+00
  5.204925e+00    1.726744e+00
  5.217687e+00    1.768240e+00
  5.230449e+00    1.886555e+00
  5.243210e+00    2.111723e+00
  5.255972e+00    2.409239e+00
  5.268734e+00    2.406082e+00
  5.281495e+00    2.346973e+00
  5.294257e+00    2.223828e+00
  5.307019e+00    1.890798e+00
  5.319780e+00    1.680713e+00
  5.332542e+00    1.594125e+00
  5.345304e+00    1.516170e+00
  5.358065e+00    1.508895e+00
  5.370827e+00    1.573734e+00
  5.383589e+00    1.451010e+00
  5.396350e+00    1.385997e+00
  5.409112e+00    1.464579e+00
  5.421873e+00    1.401289e+00
  5.434635e+00    1.454085e+00
  5.447397e+00    1.406640e+00
  5.460158e+00    1.446747e+00
  5.472920e+00    1.390782e+00
  5.485682e+00    1.438237e+00
  5.498443e+00    1.350573e+00
  5.511205e+00    1.412588e+00
  5.523967e+00    1.413111e+00
  5.536728e+00    1.361895e+00
  5.549490e+00    1.365259e+00
  5.562252e+00    1.358805e+00
  5.575013e+00    1.332273e+00
  5.587775e+00    1.439116e+00
  5.600537e+00    1.387730e+00
  5.613298e+00    1.375376e+00
  5.626060e+00    1.350171e+00
  5.638822e+00    1.431250e+00
  5.651583e+00    1.350124e+00
  5.664345e+00    1.297262e+00
  5.677107e+00    1.434394e+00
  5.689868e+00    1.360927e+00
  5.702630e+00    1.258619e+00
  5.715392e+00    1.232314e+00
  5.728153e+00    1.410222e+00
  5.740915e+00    1.388245e+00
  5.753676e+00    1.285930e+00
  5.766438e+00    1.151146e+00
  5.779200e+00    1.413582e+00
  5.791961e+00    1.236629e+00
