       q_A^-1             I 
  5.000739e+00    3.077682e+00
  5.013501e+00    2.956336e+00
  5.026262e+00    3.051100e+00
  5.039024e+00    3.068623e+00
  5.051786e+00    2.969265e+00
  5.064547e+00    3.076557e+00
  5.077309e+00    2.923673e+00
  5.090070e+00    2.925102e+00
  5.102832e+00    2.962042e+00
  5.115594e+00    3.021974e+00
  5.128355e+00    2.944930e+00
  5.141117e+00    2.855751e+00
  5.153879e+00    2.934127e+00
  5.166640e+00    3.071239e+00
  5.179402e+00    2.910320e+00
  5.192164e+00    2.971208e+00
  5.204925e+00    2.956452e+00
  5.217687e+00    2.944274e+00
  5.230449e+00    3.066879e+00
  5.243210e+00    2.978081e+00
  5.255972e+00    2.980922e+00
  5.268734e+00    2.942060e+00
  5.281495e+00    3.545928e+00
  5.294257e+00    4.070002e+00
  5.307019e+00    4.463500e+00
  5.319780e+00    4.593606e+00
  5.332542e+00    4.110607e+00
  5.345304e+00    3.684947e+00
  5.358065e+00    3.424705e+00
  5.370827e+00    3.191427e+00
  5.383589e+00    2.834734e+00
  5.396350e+00    2.722037e+00
  5.409112e+00    2.814267e+00
  5.421873e+00    2.769690e+00
  5.434635e+00    2.849207e+00
  5.447397e+00    2.718894e+00
  5.460158e+00    2.631814e+00
  5.472920e+00    2.703373e+00
  5.485682e+00    2.680545e+00
  5.498443e+00    2.650197e+00
  5.511205e+00    2.555666e+00
  5.523967e+00    2.670476e+00
  5.536728e+00    2.574253e+00
  5.549490e+00    2.538471e+00
  5.562252e+00    2.712220e+00
  5.575013e+00    2.659289e+00
  5.587775e+00    2.688912e+00
  5.600537e+00    2.817764e+00
  5.613298e+00    2.646785e+00
  5.626060e+00    2.541692e+00
  5.638822e+00    2.693163e+00
  5.651583e+00    2.651161e+00
  5.664345e+00    2.651367e+00
  5.677107e+00    2.527850e+00
  5.689868e+00    2.669062e+00
  5.702630e+00    2.554163e+00
  5.715392e+00    2.577848e+00
  5.728153e+00    2.682297e+00
  5.740915e+00    2.647177e+00
  5.753676e+00    2.597156e+00
  5.766438e+00    2.643904e+00
  5.779200e+00    2.703221e+00
  5.791961e+00    2.697498e+00
  5.804723e+00    2.570484e+00
  5.817485e+00    2.449373e+00
  5.830246e+00    2.524548e+00
  5.843008e+00    2.443754e+00
  5.855770e+00    2.507420e+00
  5.868531e+00    2.477893e+00
  5.881293e+00    2.456417e+00
  5.894055e+00    2.456275e+00
  5.906816e+00    2.446221e+00
  5.919578e+00    2.733764e+00
  5.932340e+00    2.366882e+00
  5.945101e+00    2.598302e+00
  5.957863e+00    2.421506e+00
  5.970625e+00    2.530700e+00
  5.983386e+00    2.605909e+00
  5.996148e+00    2.361363e+00
  6.008910e+00    2.557434e+00
  6.021671e+00    2.375428e+00
  6.034433e+00    2.482491e+00
  6.047195e+00    2.367589e+00
  6.059956e+00    2.492275e+00
  6.072718e+00    2.734737e+00
  6.085479e+00    2.384830e+00
  6.098241e+00    2.434737e+00
  6.111003e+00    2.992307e+00
  6.123764e+00    2.786394e+00
  6.136526e+00    3.027776e+00
  6.149288e+00    2.948376e+00
  6.162049e+00    2.934794e+00
  6.174811e+00    2.605853e+00
  6.187573e+00    2.402015e+00
  6.200334e+00    2.186165e+00
  6.213096e+00    2.297848e+00
  6.225858e+00    2.348282e+00
  6.238619e+00    2.287203e+00
  6.251381e+00    2.699479e+00
  6.264143e+00    2.658879e+00
  6.276904e+00    1.930476e+00
  6.289666e+00    2.685597e+00
  6.302428e+00    2.470597e+00
  6.315189e+00    2.840363e+00
  6.327951e+00    2.290571e+00
  6.340713e+00    2.309501e+00
  6.353474e+00    2.781139e+00
  6.366236e+00    2.037036e+00
  6.378998e+00    4.996594e-01
